Description,Department
Drain covers frequently stolen,Sewage
Foul odor from sewer affecting businesses,Sewage
Need rainwater harvesting implementation,Water Supply
Need solar-powered lights in villages,Electrical Department
Highway barricades placed haphazardly,Road Maintenance
Pipeline repairs causing temporary water cuts,Water Supply
Public toilet doors missing in market,Sanitation
Vermin infestation near garbage dump,Sanitation
Water leakage eroding road surface,Road Maintenance
Water tankers not reaching rural areas,Water Supply
Frequent power cuts disrupting businesses,Electrical Department
Abandoned parks attracting illegal activities,Parks and Recreation
Unauthorized electric pole installations,Electrical Department
Broken speed bumps causing vehicle damage,Road Maintenance
No real-time bus tracking available,Public Transportation
Water scarcity in summer months,Water Supply
Unattended electric sparks from transformer,Electrical Department
Sewage tankers dumping waste illegally,Sewage
Bus frequency too low during peak hours,Public Transportation
Inconsistent municipal water supply schedule,Water Supply
Leaking septic tanks near houses,Sewage
Water tankers not reaching rural areas,Water Supply
Leaking septic tanks near houses,Sewage
Broken speed bumps causing vehicle damage,Road Maintenance
Pipeline contamination causing health issues,Water Supply
Lack of seating arrangements in parks,Parks and Recreation
Broken tiles in jogging tracks,Parks and Recreation
Illegal vendors encroaching on footpaths,Road Maintenance
Drain covers frequently stolen,Sewage
Foul odor from sewer affecting businesses,Sewage
Need rainwater harvesting implementation,Water Supply
Narrow roads causing frequent accidents,Road Maintenance
Drain covers frequently stolen,Sewage
Neglected greenery in city gardens,Parks and Recreation
Unattended electric sparks from transformer,Electrical Department
Need more cycling tracks in parks,Parks and Recreation
No proper sanitation near street food stalls,Sanitation
Public parks closed too early,Parks and Recreation
Broken speed bumps causing vehicle damage,Road Maintenance
Damaged bridge railing poses danger,Road Maintenance
Drain covers frequently stolen,Sewage
Need additional water storage tanks,Water Supply
Streetlight poles bent dangerously,Electrical Department
Streetlight poles bent dangerously,Electrical Department
More borewells needed in village area,Water Supply
No real-time bus tracking available,Public Transportation
No proper sewage treatment in industrial area,Sewage
Public parks closed too early,Parks and Recreation
Faulty wiring in public washrooms,Electrical Department
Water tankers not reaching rural areas,Water Supply
No proper sewage treatment in industrial area,Sewage
Unfinished roadwork causing traffic congestion,Road Maintenance
Water scarcity in summer months,Water Supply
Water tankers not reaching rural areas,Water Supply
Need more female-only buses,Public Transportation
Need solar-powered lights in villages,Electrical Department
Public parks closed too early,Parks and Recreation
Public toilet doors missing in market,Sanitation
Need more cycling tracks in parks,Parks and Recreation
Drain cleaning not done for months,Sanitation
Need more playgrounds in residential areas,Parks and Recreation
More borewells needed in village area,Water Supply
Vermin infestation near garbage dump,Sanitation
No proper sewage treatment in industrial area,Sewage
Highway barricades placed haphazardly,Road Maintenance
Illegal vendors encroaching on footpaths,Road Maintenance
No real-time bus tracking available,Public Transportation
Unhygienic conditions inside city buses,Public Transportation
Unauthorized electric pole installations,Electrical Department
Unattended electric sparks from transformer,Electrical Department
Need more cycling tracks in parks,Parks and Recreation
Unregulated fares in private transport,Public Transportation
Pipeline repairs causing temporary water cuts,Water Supply
Public park lacks drinking water facility,Parks and Recreation
Water scarcity in summer months,Water Supply
No proper sanitation near street food stalls,Sanitation
Public dustbins not being emptied regularly,Sanitation
Voltage surges damaging household appliances,Electrical Department
Inconsistent municipal water supply schedule,Water Supply
No waste segregation in apartment complex,Sanitation
Pipeline contamination causing health issues,Water Supply
Flyover expansion needed due to traffic,Road Maintenance
Inconsistent municipal water supply schedule,Water Supply
Damaged sculptures in heritage parks,Parks and Recreation
Crowded buses due to lack of fleet,Public Transportation
Public toilet doors missing in market,Sanitation
Railway station lacks proper seating areas,Public Transportation
Leaking septic tanks near houses,Sewage
Pipeline contamination causing health issues,Water Supply
Need additional water storage tanks,Water Supply
Need rainwater harvesting implementation,Water Supply
Flyover expansion needed due to traffic,Road Maintenance
No real-time bus tracking available,Public Transportation
Need rainwater harvesting implementation,Water Supply
Sewage tankers dumping waste illegally,Sewage
Leaking septic tanks near houses,Sewage
Water leakage eroding road surface,Road Maintenance
Public dustbins not being emptied regularly,Sanitation
Pipeline repairs causing temporary water cuts,Water Supply
Need more female-only buses,Public Transportation
Water scarcity in summer months,Water Supply
No proper sanitation near street food stalls,Sanitation
Bus frequency too low during peak hours,Public Transportation
Damaged sculptures in heritage parks,Parks and Recreation
Drain cleaning not done for months,Sanitation
Mosquito breeding due to stagnant garbage,Sanitation
Broken streetlights causing safety concerns,Electrical Department
Need solar-powered lights in villages,Electrical Department
No waste segregation in apartment complex,Sanitation
Flyover expansion needed due to traffic,Road Maintenance
No real-time bus tracking available,Public Transportation
Water scarcity in summer months,Water Supply
Need additional water storage tanks,Water Supply
Need bio-toilets to prevent sewage overflow,Sewage
Need solar-powered lights in villages,Electrical Department
Neglected greenery in city gardens,Parks and Recreation
Drainage system unable to handle monsoon,Sewage
Bus frequency too low during peak hours,Public Transportation
Broken speed bumps causing vehicle damage,Road Maintenance
Public toilet doors missing in market,Sanitation
Inconsistent municipal water supply schedule,Water Supply
Clogged drain creating stagnant water,Sewage
Highway barricades placed haphazardly,Road Maintenance
Water tankers not reaching rural areas,Water Supply
No proper sanitation near street food stalls,Sanitation
Overflowing sewer emitting foul odor,Sanitation
Unattended electric sparks from transformer,Electrical Department
Water leakage eroding road surface,Road Maintenance
Narrow roads causing frequent accidents,Road Maintenance
Damaged bridge railing poses danger,Road Maintenance
Drain cleaning not done for months,Sanitation
Construction work damaging sewage pipes,Sewage
Damaged electric meters need replacement,Electrical Department
Illegal vendors encroaching on footpaths,Road Maintenance
Unauthorized electric pole installations,Electrical Department
Need more female-only buses,Public Transportation
Unregulated fares in private transport,Public Transportation
Broken speed bumps causing vehicle damage,Road Maintenance
Narrow roads causing frequent accidents,Road Maintenance
Unregulated fares in private transport,Public Transportation
Frequent power cuts disrupting businesses,Electrical Department
Need solar-powered lights in villages,Electrical Department
Water leakage eroding road surface,Road Maintenance
Leaking septic tanks near houses,Sewage
Need solar-powered lights in villages,Electrical Department
Need rainwater harvesting implementation,Water Supply
Overflowing sewer emitting foul odor,Sanitation
Need electric buses to reduce pollution,Public Transportation
No waste segregation in apartment complex,Sanitation
Public water taps left running unattended,Water Supply
Dumped medical waste near hospital,Sanitation
Highway barricades placed haphazardly,Road Maintenance
Need electric buses to reduce pollution,Public Transportation
Mosquito breeding due to stagnant garbage,Sanitation
Open sewage line near school,Sewage
No waste segregation in apartment complex,Sanitation
Illegal encroachments inside recreational areas,Parks and Recreation
Drain cleaning not done for months,Sanitation
Public toilet doors missing in market,Sanitation
No pedestrian pathways near shopping malls,Road Maintenance
Pipeline repairs causing temporary water cuts,Water Supply
Abandoned parks attracting illegal activities,Parks and Recreation
Roadside parking reducing bus maneuverability,Public Transportation
Broken speed bumps causing vehicle damage,Road Maintenance
Public park lacks drinking water facility,Parks and Recreation
Need solar-powered lights in villages,Electrical Department
No waste segregation in apartment complex,Sanitation
Water scarcity in summer months,Water Supply
Bus frequency too low during peak hours,Public Transportation
Broken streetlights causing safety concerns,Electrical Department
Damaged bridge railing poses danger,Road Maintenance
Roadside parking reducing bus maneuverability,Public Transportation
Vermin infestation near garbage dump,Sanitation
Mosquito breeding due to stagnant garbage,Sanitation
Public toilet doors missing in market,Sanitation
Pipeline repairs causing temporary water cuts,Water Supply
Water leakage eroding road surface,Road Maintenance
Lack of seating arrangements in parks,Parks and Recreation
Public water taps left running unattended,Water Supply
Drainage system unable to handle monsoon,Sewage
Streetlight poles bent dangerously,Electrical Department
Pavement tiles missing near bus stop,Road Maintenance
Abandoned parks attracting illegal activities,Parks and Recreation
Bus frequency too low during peak hours,Public Transportation
Voltage surges damaging household appliances,Electrical Department
Construction work damaging sewage pipes,Sewage
Drainage system unable to handle monsoon,Sewage
Water tankers not reaching rural areas,Water Supply
Broken tiles in jogging tracks,Parks and Recreation
Unauthorized electric pole installations,Electrical Department
Neglected greenery in city gardens,Parks and Recreation
Lack of seating arrangements in parks,Parks and Recreation
Mosquito breeding due to stagnant garbage,Sanitation
No real-time bus tracking available,Public Transportation
Abandoned parks attracting illegal activities,Parks and Recreation
Unregulated fares in private transport,Public Transportation
Unattended electric sparks from transformer,Electrical Department
Drainage system unable to handle monsoon,Sewage
No proper sewage treatment in industrial area,Sewage
Garbage collection irregular in residential area,Sanitation
Damaged electric meters need replacement,Electrical Department
Need electric buses to reduce pollution,Public Transportation
Need rainwater harvesting implementation,Water Supply
Auto stands need better organization,Public Transportation
Pipeline contamination causing health issues,Water Supply
Unattended electric sparks from transformer,Electrical Department
Pipeline repairs causing temporary water cuts,Water Supply
No proper sewage treatment in industrial area,Sewage
Drain covers frequently stolen,Sewage
Garbage collection irregular in residential area,Sanitation
Drain covers frequently stolen,Sewage
Flyover expansion needed due to traffic,Road Maintenance
Illegal encroachments inside recreational areas,Parks and Recreation
Illegal vendors encroaching on footpaths,Road Maintenance
More borewells needed in village area,Water Supply
Need electric buses to reduce pollution,Public Transportation
No proper sewage treatment in industrial area,Sewage
Pipeline repairs causing temporary water cuts,Water Supply
Highway barricades placed haphazardly,Road Maintenance
Pipeline repairs causing temporary water cuts,Water Supply
Illegal borewells reducing water availability,Water Supply
Broken speed bumps causing vehicle damage,Road Maintenance
No waste segregation in apartment complex,Sanitation
Need solar-powered lights in villages,Electrical Department
Pipeline contamination causing health issues,Water Supply
Illegal borewells reducing water availability,Water Supply
Railway station lacks proper seating areas,Public Transportation
Need rainwater harvesting implementation,Water Supply
Need rainwater harvesting implementation,Water Supply
No pedestrian pathways near shopping malls,Road Maintenance
Power theft causing fluctuations,Electrical Department
Faulty wiring in public washrooms,Electrical Department
No real-time bus tracking available,Public Transportation
Broken tiles in jogging tracks,Parks and Recreation
Unfinished roadwork causing traffic congestion,Road Maintenance
Broken streetlights causing safety concerns,Electrical Department
Foul odor from sewer affecting businesses,Sewage
Frequent power cuts disrupting businesses,Electrical Department
Overflowing sewer emitting foul odor,Sanitation
Water leakage eroding road surface,Road Maintenance
Auto stands need better organization,Public Transportation
No waste segregation in apartment complex,Sanitation
Foul odor from sewer affecting businesses,Sewage
Water scarcity in summer months,Water Supply
Unregulated fares in private transport,Public Transportation
Need electric buses to reduce pollution,Public Transportation
Sewage tankers dumping waste illegally,Sewage
No proper sanitation near street food stalls,Sanitation
Pipeline contamination causing health issues,Water Supply
Public parks closed too early,Parks and Recreation
Dumped medical waste near hospital,Sanitation
Public water taps left running unattended,Water Supply
Unregulated fares in private transport,Public Transportation
Damaged bridge railing poses danger,Road Maintenance
Faulty wiring in public washrooms,Electrical Department
Voltage surges damaging household appliances,Electrical Department
Streetlight poles bent dangerously,Electrical Department
Need rainwater harvesting implementation,Water Supply
Drainage system unable to handle monsoon,Sewage
Unauthorized electric pole installations,Electrical Department
Crowded buses due to lack of fleet,Public Transportation
More borewells needed in village area,Water Supply
Unfinished roadwork causing traffic congestion,Road Maintenance
Highway barricades placed haphazardly,Road Maintenance
Construction work damaging sewage pipes,Sewage
Water leakage eroding road surface,Road Maintenance
Damaged sculptures in heritage parks,Parks and Recreation
Pipeline contamination causing health issues,Water Supply
Neglected greenery in city gardens,Parks and Recreation
Auto stands need better organization,Public Transportation
No proper sewage treatment in industrial area,Sewage
Narrow roads causing frequent accidents,Road Maintenance
Unhygienic conditions inside city buses,Public Transportation
Construction work damaging sewage pipes,Sewage
More borewells needed in village area,Water Supply
Illegal encroachments inside recreational areas,Parks and Recreation
Lack of seating arrangements in parks,Parks and Recreation
Illegal borewells reducing water availability,Water Supply
Illegal vendors encroaching on footpaths,Road Maintenance
Pavement tiles missing near bus stop,Road Maintenance
Frequent power cuts disrupting businesses,Electrical Department
Public park lacks drinking water facility,Parks and Recreation
Need additional water storage tanks,Water Supply
Damaged sculptures in heritage parks,Parks and Recreation
Auto stands need better organization,Public Transportation
No waste segregation in apartment complex,Sanitation
Need bio-toilets to prevent sewage overflow,Sewage
Highway barricades placed haphazardly,Road Maintenance
Need additional water storage tanks,Water Supply
Inconsistent municipal water supply schedule,Water Supply
Drainage system unable to handle monsoon,Sewage
No real-time bus tracking available,Public Transportation
More borewells needed in village area,Water Supply
Lack of seating arrangements in parks,Parks and Recreation
Sewage tankers dumping waste illegally,Sewage
Illegal encroachments inside recreational areas,Parks and Recreation
Sewage tankers dumping waste illegally,Sewage
Unhygienic conditions inside city buses,Public Transportation
Auto stands need better organization,Public Transportation
Pipeline contamination causing health issues,Water Supply
No proper sewage treatment in industrial area,Sewage
Unregulated fares in private transport,Public Transportation
Lack of seating arrangements in parks,Parks and Recreation
Frequent power cuts disrupting businesses,Electrical Department
Need electric buses to reduce pollution,Public Transportation
Public water taps left running unattended,Water Supply
Damaged bridge railing poses danger,Road Maintenance
Inconsistent municipal water supply schedule,Water Supply
Damaged sculptures in heritage parks,Parks and Recreation
Sewage tankers dumping waste illegally,Sewage
Damaged electric meters need replacement,Electrical Department
Pipeline repairs causing temporary water cuts,Water Supply
Need solar-powered lights in villages,Electrical Department
Frequent power cuts disrupting businesses,Electrical Department
Roadside parking reducing bus maneuverability,Public Transportation
Garbage collection irregular in residential area,Sanitation
Need rainwater harvesting implementation,Water Supply
Auto stands need better organization,Public Transportation
Drain cleaning not done for months,Sanitation
No pedestrian pathways near shopping malls,Road Maintenance
Railway station lacks proper seating areas,Public Transportation
Clogged drain creating stagnant water,Sewage
Mosquito breeding due to stagnant garbage,Sanitation
Open sewage line near school,Sewage
No proper sewage treatment in industrial area,Sewage
Foul odor from sewer affecting businesses,Sewage
Damaged bridge railing poses danger,Road Maintenance
Unauthorized electric pole installations,Electrical Department
Broken tiles in jogging tracks,Parks and Recreation
Open sewage line near school,Sewage
No waste segregation in apartment complex,Sanitation
Faulty wiring in public washrooms,Electrical Department
Overflowing sewer emitting foul odor,Sanitation
Public parks closed too early,Parks and Recreation
Faulty wiring in public washrooms,Electrical Department
Abandoned parks attracting illegal activities,Parks and Recreation
Unattended electric sparks from transformer,Electrical Department
Pavement tiles missing near bus stop,Road Maintenance
No waste segregation in apartment complex,Sanitation
Roadside parking reducing bus maneuverability,Public Transportation
Overflowing sewer emitting foul odor,Sanitation
Broken speed bumps causing vehicle damage,Road Maintenance
Lack of seating arrangements in parks,Parks and Recreation
Unregulated fares in private transport,Public Transportation
Drain covers frequently stolen,Sewage
Vermin infestation near garbage dump,Sanitation
Illegal vendors encroaching on footpaths,Road Maintenance
Leaking septic tanks near houses,Sewage
Unauthorized electric pole installations,Electrical Department
Unfinished roadwork causing traffic congestion,Road Maintenance
Water leakage eroding road surface,Road Maintenance
Water tankers not reaching rural areas,Water Supply
Unhygienic conditions inside city buses,Public Transportation
Unattended electric sparks from transformer,Electrical Department
Damaged sculptures in heritage parks,Parks and Recreation
No proper sanitation near street food stalls,Sanitation
Need more playgrounds in residential areas,Parks and Recreation
Unhygienic conditions inside city buses,Public Transportation
Damaged electric meters need replacement,Electrical Department
Need rainwater harvesting implementation,Water Supply
Unregulated fares in private transport,Public Transportation
Unauthorized electric pole installations,Electrical Department
No proper sewage treatment in industrial area,Sewage
Water tankers not reaching rural areas,Water Supply
Garbage collection irregular in residential area,Sanitation
Voltage surges damaging household appliances,Electrical Department
Illegal vendors encroaching on footpaths,Road Maintenance
Damaged sculptures in heritage parks,Parks and Recreation
Frequent power cuts disrupting businesses,Electrical Department
Public toilet doors missing in market,Sanitation
Pipeline repairs causing temporary water cuts,Water Supply
Damaged electric meters need replacement,Electrical Department
More borewells needed in village area,Water Supply
Power theft causing fluctuations,Electrical Department
No waste segregation in apartment complex,Sanitation
Drain cleaning not done for months,Sanitation
Water scarcity in summer months,Water Supply
Pavement tiles missing near bus stop,Road Maintenance
Public water taps left running unattended,Water Supply
Public parks closed too early,Parks and Recreation
Mosquito breeding due to stagnant garbage,Sanitation
Foul odor from sewer affecting businesses,Sewage
Drain covers frequently stolen,Sewage
Need additional water storage tanks,Water Supply
Foul odor from sewer affecting businesses,Sewage
Flyover expansion needed due to traffic,Road Maintenance
Voltage surges damaging household appliances,Electrical Department
Abandoned parks attracting illegal activities,Parks and Recreation
Open sewage line near school,Sewage
Drain cleaning not done for months,Sanitation
Clogged drain creating stagnant water,Sewage
Railway station lacks proper seating areas,Public Transportation
Need more playgrounds in residential areas,Parks and Recreation
Unhygienic conditions inside city buses,Public Transportation
Damaged bridge railing poses danger,Road Maintenance
Voltage surges damaging household appliances,Electrical Department
Broken speed bumps causing vehicle damage,Road Maintenance
Unattended electric sparks from transformer,Electrical Department
Drain cleaning not done for months,Sanitation
Broken streetlights causing safety concerns,Electrical Department
Drain cleaning not done for months,Sanitation
Overflowing sewer emitting foul odor,Sanitation
Broken streetlights causing safety concerns,Electrical Department
No proper sewage treatment in industrial area,Sewage
Dumped medical waste near hospital,Sanitation
Inconsistent municipal water supply schedule,Water Supply
Illegal borewells reducing water availability,Water Supply
Frequent power cuts disrupting businesses,Electrical Department
Illegal encroachments inside recreational areas,Parks and Recreation
Unregulated fares in private transport,Public Transportation
Damaged sculptures in heritage parks,Parks and Recreation
Narrow roads causing frequent accidents,Road Maintenance
Unattended electric sparks from transformer,Electrical Department
Public water taps left running unattended,Water Supply
Overflowing sewer emitting foul odor,Sanitation
Public dustbins not being emptied regularly,Sanitation
Damaged bridge railing poses danger,Road Maintenance
Damaged sculptures in heritage parks,Parks and Recreation
Dumped medical waste near hospital,Sanitation
Unhygienic conditions inside city buses,Public Transportation
No real-time bus tracking available,Public Transportation
More borewells needed in village area,Water Supply
Need electric buses to reduce pollution,Public Transportation
Need more cycling tracks in parks,Parks and Recreation
Mosquito breeding due to stagnant garbage,Sanitation
Pipeline contamination causing health issues,Water Supply
Public parks closed too early,Parks and Recreation
No real-time bus tracking available,Public Transportation
Dumped medical waste near hospital,Sanitation
Sewage tankers dumping waste illegally,Sewage
Unauthorized electric pole installations,Electrical Department
Drainage system unable to handle monsoon,Sewage
Pipeline repairs causing temporary water cuts,Water Supply
Auto stands need better organization,Public Transportation
Frequent power cuts disrupting businesses,Electrical Department
Water leakage eroding road surface,Road Maintenance
Lack of seating arrangements in parks,Parks and Recreation
Drain cleaning not done for months,Sanitation
Need more playgrounds in residential areas,Parks and Recreation
Illegal vendors encroaching on footpaths,Road Maintenance
Crowded buses due to lack of fleet,Public Transportation
Illegal borewells reducing water availability,Water Supply
Auto stands need better organization,Public Transportation
Railway station lacks proper seating areas,Public Transportation
Pavement tiles missing near bus stop,Road Maintenance
No real-time bus tracking available,Public Transportation
Water leakage eroding road surface,Road Maintenance
Voltage surges damaging household appliances,Electrical Department
Pipeline repairs causing temporary water cuts,Water Supply
Faulty wiring in public washrooms,Electrical Department
Need additional water storage tanks,Water Supply
Illegal encroachments inside recreational areas,Parks and Recreation
More borewells needed in village area,Water Supply
Pipeline repairs causing temporary water cuts,Water Supply
Broken speed bumps causing vehicle damage,Road Maintenance
Pipeline contamination causing health issues,Water Supply
Faulty wiring in public washrooms,Electrical Department
Water leakage eroding road surface,Road Maintenance
More borewells needed in village area,Water Supply
Need solar-powered lights in villages,Electrical Department
Voltage surges damaging household appliances,Electrical Department
Need additional water storage tanks,Water Supply
Bus frequency too low during peak hours,Public Transportation
Need electric buses to reduce pollution,Public Transportation
Broken streetlights causing safety concerns,Electrical Department
Bus frequency too low during peak hours,Public Transportation
Leaking septic tanks near houses,Sewage
Damaged sculptures in heritage parks,Parks and Recreation
Clogged drain creating stagnant water,Sewage
Illegal encroachments inside recreational areas,Parks and Recreation
Unhygienic conditions inside city buses,Public Transportation
Unauthorized electric pole installations,Electrical Department
More borewells needed in village area,Water Supply
Neglected greenery in city gardens,Parks and Recreation
Highway barricades placed haphazardly,Road Maintenance
Bus frequency too low during peak hours,Public Transportation
Vermin infestation near garbage dump,Sanitation
Sewage tankers dumping waste illegally,Sewage
Clogged drain creating stagnant water,Sewage
Streetlight poles bent dangerously,Electrical Department
Drainage system unable to handle monsoon,Sewage
Water scarcity in summer months,Water Supply
Narrow roads causing frequent accidents,Road Maintenance
No proper sewage treatment in industrial area,Sewage
Unhygienic conditions inside city buses,Public Transportation
Damaged electric meters need replacement,Electrical Department
Vermin infestation near garbage dump,Sanitation
Crowded buses due to lack of fleet,Public Transportation
Illegal vendors encroaching on footpaths,Road Maintenance
Foul odor from sewer affecting businesses,Sewage
Damaged bridge railing poses danger,Road Maintenance
Leaking septic tanks near houses,Sewage
Construction work damaging sewage pipes,Sewage
Illegal vendors encroaching on footpaths,Road Maintenance
Pipeline repairs causing temporary water cuts,Water Supply
Damaged sculptures in heritage parks,Parks and Recreation
Voltage surges damaging household appliances,Electrical Department
Unhygienic conditions inside city buses,Public Transportation
Damaged bridge railing poses danger,Road Maintenance
Drainage system unable to handle monsoon,Sewage
Water leakage eroding road surface,Road Maintenance
Dumped medical waste near hospital,Sanitation
Need electric buses to reduce pollution,Public Transportation
Lack of seating arrangements in parks,Parks and Recreation
Neglected greenery in city gardens,Parks and Recreation
Inconsistent municipal water supply schedule,Water Supply
Auto stands need better organization,Public Transportation
Voltage surges damaging household appliances,Electrical Department
Crowded buses due to lack of fleet,Public Transportation
No proper sanitation near street food stalls,Sanitation
Overflowing sewer emitting foul odor,Sanitation
Faulty wiring in public washrooms,Electrical Department
Public water taps left running unattended,Water Supply
Auto stands need better organization,Public Transportation
Unhygienic conditions inside city buses,Public Transportation
Damaged electric meters need replacement,Electrical Department
Leaking septic tanks near houses,Sewage
Unattended electric sparks from transformer,Electrical Department
Dumped medical waste near hospital,Sanitation
Bus frequency too low during peak hours,Public Transportation
Broken tiles in jogging tracks,Parks and Recreation
Voltage surges damaging household appliances,Electrical Department
Need electric buses to reduce pollution,Public Transportation
Streetlight poles bent dangerously,Electrical Department
Leaking septic tanks near houses,Sewage
Illegal encroachments inside recreational areas,Parks and Recreation
Unregulated fares in private transport,Public Transportation
Pavement tiles missing near bus stop,Road Maintenance
Foul odor from sewer affecting businesses,Sewage
Water tankers not reaching rural areas,Water Supply
Highway barricades placed haphazardly,Road Maintenance
Pipeline repairs causing temporary water cuts,Water Supply
Unhygienic conditions inside city buses,Public Transportation
No proper sanitation near street food stalls,Sanitation
Need more cycling tracks in parks,Parks and Recreation
Leaking septic tanks near houses,Sewage
Water scarcity in summer months,Water Supply
Damaged electric meters need replacement,Electrical Department
Unfinished roadwork causing traffic congestion,Road Maintenance
Mosquito breeding due to stagnant garbage,Sanitation
Auto stands need better organization,Public Transportation
Illegal vendors encroaching on footpaths,Road Maintenance
Leaking septic tanks near houses,Sewage
Pipeline contamination causing health issues,Water Supply
Garbage collection irregular in residential area,Sanitation
Water scarcity in summer months,Water Supply
Need electric buses to reduce pollution,Public Transportation
Inconsistent municipal water supply schedule,Water Supply
Inconsistent municipal water supply schedule,Water Supply
Illegal encroachments inside recreational areas,Parks and Recreation
Mosquito breeding due to stagnant garbage,Sanitation
Illegal borewells reducing water availability,Water Supply
Need more cycling tracks in parks,Parks and Recreation
Flyover expansion needed due to traffic,Road Maintenance
Illegal borewells reducing water availability,Water Supply
Unfinished roadwork causing traffic congestion,Road Maintenance
Sewage tankers dumping waste illegally,Sewage
Drain cleaning not done for months,Sanitation
Mosquito breeding due to stagnant garbage,Sanitation
Illegal borewells reducing water availability,Water Supply
Broken streetlights causing safety concerns,Electrical Department
Need rainwater harvesting implementation,Water Supply
Need rainwater harvesting implementation,Water Supply
Foul odor from sewer affecting businesses,Sewage
Unhygienic conditions inside city buses,Public Transportation
No proper sanitation near street food stalls,Sanitation
Damaged electric meters need replacement,Electrical Department
Damaged bridge railing poses danger,Road Maintenance
Damaged bridge railing poses danger,Road Maintenance
More borewells needed in village area,Water Supply
No waste segregation in apartment complex,Sanitation
Need more female-only buses,Public Transportation
Neglected greenery in city gardens,Parks and Recreation
Pipeline contamination causing health issues,Water Supply
Voltage surges damaging household appliances,Electrical Department
Open sewage line near school,Sewage
Highway barricades placed haphazardly,Road Maintenance
Mosquito breeding due to stagnant garbage,Sanitation
Faulty wiring in public washrooms,Electrical Department
Mosquito breeding due to stagnant garbage,Sanitation
Open sewage line near school,Sewage
Public dustbins not being emptied regularly,Sanitation
Illegal vendors encroaching on footpaths,Road Maintenance
Unhygienic conditions inside city buses,Public Transportation
Pipeline repairs causing temporary water cuts,Water Supply
Broken speed bumps causing vehicle damage,Road Maintenance
Need additional water storage tanks,Water Supply
Overflowing sewer emitting foul odor,Sanitation
Water tankers not reaching rural areas,Water Supply
Power theft causing fluctuations,Electrical Department
Need more playgrounds in residential areas,Parks and Recreation
Streetlight poles bent dangerously,Electrical Department
Illegal vendors encroaching on footpaths,Road Maintenance
Need additional water storage tanks,Water Supply
Public parks closed too early,Parks and Recreation
Drain covers frequently stolen,Sewage
Water scarcity in summer months,Water Supply
Need more female-only buses,Public Transportation
Abandoned parks attracting illegal activities,Parks and Recreation
Drain covers frequently stolen,Sewage
Need more female-only buses,Public Transportation
Neglected greenery in city gardens,Parks and Recreation
Crowded buses due to lack of fleet,Public Transportation
Faulty wiring in public washrooms,Electrical Department
Water scarcity in summer months,Water Supply
More borewells needed in village area,Water Supply
Neglected greenery in city gardens,Parks and Recreation
Need more cycling tracks in parks,Parks and Recreation
Voltage surges damaging household appliances,Electrical Department
Need additional water storage tanks,Water Supply
Bus frequency too low during peak hours,Public Transportation
Need rainwater harvesting implementation,Water Supply
Leaking septic tanks near houses,Sewage
Roadside parking reducing bus maneuverability,Public Transportation
More borewells needed in village area,Water Supply
Damaged bridge railing poses danger,Road Maintenance
Neglected greenery in city gardens,Parks and Recreation
Damaged electric meters need replacement,Electrical Department
Illegal vendors encroaching on footpaths,Road Maintenance
Auto stands need better organization,Public Transportation
Roadside parking reducing bus maneuverability,Public Transportation
Narrow roads causing frequent accidents,Road Maintenance
Need more playgrounds in residential areas,Parks and Recreation
Need more cycling tracks in parks,Parks and Recreation
Drainage system unable to handle monsoon,Sewage
Mosquito breeding due to stagnant garbage,Sanitation
Construction work damaging sewage pipes,Sewage
Need bio-toilets to prevent sewage overflow,Sewage
Vermin infestation near garbage dump,Sanitation
Lack of seating arrangements in parks,Parks and Recreation
Unauthorized electric pole installations,Electrical Department
Unhygienic conditions inside city buses,Public Transportation
Illegal encroachments inside recreational areas,Parks and Recreation
Narrow roads causing frequent accidents,Road Maintenance
Illegal borewells reducing water availability,Water Supply
Water tankers not reaching rural areas,Water Supply
Clogged drain creating stagnant water,Sewage
No real-time bus tracking available,Public Transportation
Drainage system unable to handle monsoon,Sewage
